bit_position,zeros_count,ones_count,majority,stability
0,0,20,1,1.0
1,20,0,0,1.0
2,20,0,0,1.0
3,0,20,1,1.0
4,19,1,0,0.95
5,2,18,1,0.9
6,0,20,1,1.0
7,20,0,0,1.0
8,20,0,0,1.0
9,0,20,1,1.0
10,20,0,0,1.0
11,20,0,0,1.0
12,20,0,0,1.0
13,0,20,1,1.0
14,19,1,0,0.95
15,0,20,1,1.0
16,20,0,0,1.0
17,0,20,1,1.0
18,20,0,0,1.0
19,20,0,0,1.0
20,0,20,1,1.0
21,10,10,equal,0.5
22,0,20,1,1.0
23,20,0,0,1.0
24,0,20,1,1.0
25,20,0,0,1.0
26,20,0,0,1.0
27,20,0,0,1.0
28,0,20,1,1.0
29,20,0,0,1.0
30,19,1,0,0.95
31,13,7,0,0.65
32,20,0,0,1.0
33,20,0,0,1.0
34,6,14,1,0.7
35,0,20,1,1.0
36,0,20,1,1.0
37,0,20,1,1.0
38,0,20,1,1.0
39,4,16,1,0.8
40,5,15,1,0.75
41,20,0,0,1.0
42,20,0,0,1.0
43,20,0,0,1.0
44,0,20,1,1.0
45,20,0,0,1.0
46,0,20,1,1.0
47,20,0,0,1.0
48,20,0,0,1.0
49,20,0,0,1.0
50,0,20,1,1.0
51,0,20,1,1.0
52,20,0,0,1.0
53,0,20,1,1.0
54,0,20,1,1.0
55,0,20,1,1.0
56,20,0,0,1.0
57,0,20,1,1.0
58,0,20,1,1.0
59,20,0,0,1.0
60,0,20,1,1.0
61,20,0,0,1.0
62,20,0,0,1.0
63,1,19,1,0.95
64,0,20,1,1.0
65,20,0,0,1.0
66,0,20,1,1.0
67,20,0,0,1.0
68,8,12,1,0.6
69,19,1,0,0.95
70,13,7,0,0.65
71,0,20,1,1.0
72,1,19,1,0.95
73,20,0,0,1.0
74,0,20,1,1.0
75,7,13,1,0.65
76,0,20,1,1.0
77,0,20,1,1.0
78,0,20,1,1.0
79,7,13,1,0.65
80,20,0,0,1.0
81,1,19,1,0.95
82,0,20,1,1.0
83,7,13,1,0.65
84,2,18,1,0.9
85,20,0,0,1.0
86,0,20,1,1.0
87,3,17,1,0.85
88,0,20,1,1.0
89,0,20,1,1.0
90,0,20,1,1.0
91,0,20,1,1.0
92,0,20,1,1.0
93,19,1,0,0.95
94,0,20,1,1.0
95,7,13,1,0.65
96,20,0,0,1.0
97,19,1,0,0.95
98,0,20,1,1.0
99,0,20,1,1.0
100,0,20,1,1.0
101,3,17,1,0.85
102,20,0,0,1.0
103,0,20,1,1.0
104,20,0,0,1.0
105,20,0,0,1.0
106,20,0,0,1.0
107,0,20,1,1.0
108,0,20,1,1.0
109,0,20,1,1.0
110,19,1,0,0.95
111,0,20,1,1.0
112,9,11,1,0.55
113,1,19,1,0.95
114,20,0,0,1.0
115,18,2,0,0.9
116,4,16,1,0.8
117,18,2,0,0.9
118,20,0,0,1.0
119,5,15,1,0.75
120,0,20,1,1.0
121,20,0,0,1.0
122,20,0,0,1.0
123,17,3,0,0.85
124,20,0,0,1.0
125,18,2,0,0.9
126,0,20,1,1.0
127,20,0,0,1.0
128,14,6,0,0.7
129,3,17,1,0.85
130,14,6,0,0.7
131,1,19,1,0.95
132,20,0,0,1.0
133,0,20,1,1.0
134,20,0,0,1.0
135,0,20,1,1.0
136,20,0,0,1.0
137,0,20,1,1.0
138,0,20,1,1.0
139,0,20,1,1.0
140,20,0,0,1.0
141,0,20,1,1.0
142,0,20,1,1.0
143,0,20,1,1.0
144,2,18,1,0.9
145,1,19,1,0.95
146,0,20,1,1.0
147,0,20,1,1.0
148,20,0,0,1.0
149,0,20,1,1.0
150,0,20,1,1.0
151,0,20,1,1.0
152,16,4,0,0.8
153,20,0,0,1.0
154,0,20,1,1.0
155,20,0,0,1.0
156,20,0,0,1.0
157,0,20,1,1.0
158,0,20,1,1.0
159,0,20,1,1.0
160,20,0,0,1.0
161,20,0,0,1.0
162,20,0,0,1.0
163,0,20,1,1.0
164,20,0,0,1.0
165,0,20,1,1.0
166,0,20,1,1.0
167,1,19,1,0.95
168,20,0,0,1.0
169,20,0,0,1.0
170,0,20,1,1.0
171,20,0,0,1.0
172,18,2,0,0.9
173,0,20,1,1.0
174,0,20,1,1.0
175,20,0,0,1.0
176,12,8,0,0.6
177,20,0,0,1.0
178,20,0,0,1.0
179,0,20,1,1.0
180,20,0,0,1.0
181,1,19,1,0.95
182,17,3,0,0.85
183,14,6,0,0.7
184,20,0,0,1.0
185,0,20,1,1.0
186,20,0,0,1.0
187,20,0,0,1.0
188,0,20,1,1.0
189,0,20,1,1.0
190,1,19,1,0.95
191,20,0,0,1.0
192,20,0,0,1.0
193,0,20,1,1.0
194,20,0,0,1.0
195,0,20,1,1.0
196,20,0,0,1.0
197,20,0,0,1.0
198,20,0,0,1.0
199,17,3,0,0.85
200,20,0,0,1.0
201,0,20,1,1.0
202,0,20,1,1.0
