bit_position,zeros_count,ones_count,majority,stability
203,20,0,0,1.0
204,19,1,0,0.95
205,0,20,1,1.0
206,0,20,1,1.0
207,19,1,0,0.95
208,0,20,1,1.0
209,19,1,0,0.95
210,2,18,1,0.9
211,0,20,1,1.0
212,20,0,0,1.0
213,0,20,1,1.0
214,12,8,0,0.6
215,0,20,1,1.0
216,18,2,0,0.9
217,4,16,1,0.8
218,0,20,1,1.0
219,0,20,1,1.0
220,12,8,0,0.6
221,20,0,0,1.0
222,1,19,1,0.95
223,0,20,1,1.0
224,20,0,0,1.0
225,17,3,0,0.85
226,0,20,1,1.0
227,20,0,0,1.0
228,15,5,0,0.75
229,20,0,0,1.0
230,0,20,1,1.0
231,20,0,0,1.0
232,0,20,1,1.0
233,14,6,0,0.7
234,19,1,0,0.95
235,20,0,0,1.0
236,20,0,0,1.0
237,20,0,0,1.0
238,0,20,1,1.0
239,20,0,0,1.0
240,19,1,0,0.95
241,17,3,0,0.85
242,20,0,0,1.0
243,14,6,0,0.7
244,20,0,0,1.0
245,19,1,0,0.95
246,20,0,0,1.0
247,19,1,0,0.95
248,0,20,1,1.0
249,20,0,0,1.0
250,20,0,0,1.0
251,15,5,0,0.75
252,0,20,1,1.0
253,20,0,0,1.0
254,17,3,0,0.85
255,0,20,1,1.0
256,20,0,0,1.0
257,20,0,0,1.0
258,20,0,0,1.0
259,0,20,1,1.0
260,0,20,1,1.0
261,1,19,1,0.95
262,0,20,1,1.0
263,16,4,0,0.8
264,20,0,0,1.0
265,0,20,1,1.0
266,20,0,0,1.0
267,0,20,1,1.0
268,20,0,0,1.0
269,0,20,1,1.0
270,0,20,1,1.0
271,0,20,1,1.0
272,0,20,1,1.0
273,8,12,1,0.6
274,20,0,0,1.0
275,20,0,0,1.0
276,0,20,1,1.0
277,9,11,1,0.55
278,0,20,1,1.0
279,0,20,1,1.0
280,20,0,0,1.0
281,20,0,0,1.0
282,0,20,1,1.0
283,0,20,1,1.0
284,0,20,1,1.0
285,0,20,1,1.0
286,13,7,0,0.65
287,20,0,0,1.0
288,5,15,1,0.75
289,0,20,1,1.0
290,15,5,0,0.75
291,0,20,1,1.0
292,20,0,0,1.0
293,20,0,0,1.0
294,20,0,0,1.0
295,20,0,0,1.0
296,20,0,0,1.0
297,0,20,1,1.0
298,20,0,0,1.0
299,20,0,0,1.0
300,0,20,1,1.0
301,2,18,1,0.9
302,20,0,0,1.0
303,17,3,0,0.85
304,20,0,0,1.0
305,16,4,0,0.8
306,0,20,1,1.0
307,18,2,0,0.9
308,20,0,0,1.0
309,20,0,0,1.0
310,20,0,0,1.0
311,20,0,0,1.0
312,1,19,1,0.95
313,20,0,0,1.0
314,20,0,0,1.0
315,0,20,1,1.0
316,2,18,1,0.9
317,0,20,1,1.0
318,17,3,0,0.85
319,20,0,0,1.0
320,20,0,0,1.0
321,0,20,1,1.0
322,20,0,0,1.0
323,2,18,1,0.9
324,1,19,1,0.95
325,0,20,1,1.0
326,20,0,0,1.0
327,0,20,1,1.0
328,8,12,1,0.6
329,4,16,1,0.8
330,0,20,1,1.0
331,19,1,0,0.95
332,1,19,1,0.95
333,0,20,1,1.0
334,20,0,0,1.0
335,0,20,1,1.0
336,0,20,1,1.0
337,2,18,1,0.9
338,20,0,0,1.0
339,0,20,1,1.0
340,20,0,0,1.0
341,3,17,1,0.85
342,20,0,0,1.0
343,0,20,1,1.0
344,0,20,1,1.0
345,0,20,1,1.0
346,20,0,0,1.0
347,0,20,1,1.0
348,20,0,0,1.0
349,20,0,0,1.0
350,8,12,1,0.6
351,1,19,1,0.95
352,1,19,1,0.95
353,20,0,0,1.0
354,20,0,0,1.0
355,20,0,0,1.0
356,19,1,0,0.95
357,20,0,0,1.0
358,0,20,1,1.0
359,20,0,0,1.0
360,20,0,0,1.0
361,20,0,0,1.0
362,20,0,0,1.0
363,20,0,0,1.0
364,20,0,0,1.0
365,20,0,0,1.0
366,20,0,0,1.0
367,0,20,1,1.0
368,20,0,0,1.0
369,20,0,0,1.0
370,20,0,0,1.0
371,10,10,equal,0.5
372,0,20,1,1.0
373,20,0,0,1.0
374,20,0,0,1.0
375,0,20,1,1.0
376,20,0,0,1.0
377,3,17,1,0.85
378,0,20,1,1.0
379,17,3,0,0.85
380,20,0,0,1.0
381,0,20,1,1.0
382,2,18,1,0.9
383,0,20,1,1.0
384,20,0,0,1.0
385,20,0,0,1.0
386,0,20,1,1.0
387,20,0,0,1.0
388,20,0,0,1.0
389,0,20,1,1.0
390,0,20,1,1.0
391,0,20,1,1.0
392,0,20,1,1.0
393,20,0,0,1.0
394,19,1,0,0.95
395,2,18,1,0.9
396,1,19,1,0.95
397,0,20,1,1.0
398,0,20,1,1.0
399,18,2,0,0.9
400,1,19,1,0.95
401,1,19,1,0.95
402,20,0,0,1.0
403,0,20,1,1.0
404,20,0,0,1.0
405,0,20,1,1.0
406,0,20,1,1.0
407,20,0,0,1.0
408,18,2,0,0.9
409,0,20,1,1.0
410,18,2,0,0.9
411,0,20,1,1.0
412,4,16,1,0.8
413,3,17,1,0.85
414,0,20,1,1.0
415,0,20,1,1.0
416,0,20,1,1.0
417,20,0,0,1.0
418,20,0,0,1.0
419,20,0,0,1.0
420,20,0,0,1.0
421,0,20,1,1.0
422,0,20,1,1.0
423,5,15,1,0.75
424,20,0,0,1.0
425,20,0,0,1.0
426,1,19,1,0.95
427,11,9,0,0.55
428,0,20,1,1.0
429,20,0,0,1.0
430,0,20,1,1.0
431,20,0,0,1.0
432,0,20,1,1.0
433,0,20,1,1.0
434,17,3,0,0.85
435,20,0,0,1.0
436,0,20,1,1.0
437,1,19,1,0.95
438,0,20,1,1.0
439,20,0,0,1.0
440,0,20,1,1.0
441,2,18,1,0.9
442,20,0,0,1.0
443,20,0,0,1.0
444,0,20,1,1.0
445,20,0,0,1.0
446,20,0,0,1.0
447,0,20,1,1.0
448,0,20,1,1.0
449,20,0,0,1.0
450,0,20,1,1.0
451,19,1,0,0.95
452,0,20,1,1.0
453,19,1,0,0.95
454,20,0,0,1.0
455,0,20,1,1.0
456,12,8,0,0.6
457,20,0,0,1.0
458,13,7,0,0.65
459,20,0,0,1.0
460,0,20,1,1.0
461,1,19,1,0.95
462,17,3,0,0.85
463,0,20,1,1.0
464,20,0,0,1.0
465,20,0,0,1.0
466,20,0,0,1.0
467,0,20,1,1.0
468,1,19,1,0.95
469,19,1,0,0.95
470,0,20,1,1.0
471,19,1,0,0.95
472,20,0,0,1.0
473,14,6,0,0.7
474,15,5,0,0.75
475,0,20,1,1.0
476,20,0,0,1.0
477,20,0,0,1.0
478,0,20,1,1.0
479,17,3,0,0.85
480,0,20,1,1.0
481,0,20,1,1.0
482,20,0,0,1.0
483,20,0,0,1.0
484,20,0,0,1.0
485,14,6,0,0.7
486,0,20,1,1.0
487,0,20,1,1.0
488,20,0,0,1.0
489,20,0,0,1.0
490,19,1,0,0.95
491,0,20,1,1.0
492,20,0,0,1.0
493,19,1,0,0.95
494,0,20,1,1.0
495,20,0,0,1.0
496,0,20,1,1.0
497,20,0,0,1.0
498,20,0,0,1.0
499,0,20,1,1.0
500,0,20,1,1.0
501,20,0,0,1.0
502,20,0,0,1.0
503,0,20,1,1.0
504,0,20,1,1.0
505,20,0,0,1.0
506,20,0,0,1.0
507,20,0,0,1.0
508,20,0,0,1.0
509,20,0,0,1.0
510,0,20,1,1.0
511,0,20,1,1.0
512,0,20,1,1.0
513,0,20,1,1.0
514,0,20,1,1.0
515,20,0,0,1.0
516,1,19,1,0.95
517,0,20,1,1.0
518,20,0,0,1.0
519,0,20,1,1.0
520,0,20,1,1.0
521,0,20,1,1.0
522,20,0,0,1.0
523,0,20,1,1.0
524,0,20,1,1.0
525,20,0,0,1.0
526,0,20,1,1.0
527,0,20,1,1.0
528,10,10,equal,0.5
529,0,20,1,1.0
530,0,20,1,1.0
531,0,20,1,1.0
532,0,20,1,1.0
533,0,20,1,1.0
534,1,19,1,0.95
535,20,0,0,1.0
536,0,20,1,1.0
537,0,20,1,1.0
538,0,20,1,1.0
539,4,16,1,0.8
540,20,0,0,1.0
541,1,19,1,0.95
542,0,20,1,1.0
543,0,20,1,1.0
544,18,2,0,0.9
545,18,2,0,0.9
546,0,20,1,1.0
547,0,20,1,1.0
548,0,20,1,1.0
549,19,1,0,0.95
550,20,0,0,1.0
551,20,0,0,1.0
552,6,14,1,0.7
553,0,20,1,1.0
554,1,19,1,0.95
555,9,11,1,0.55
556,20,0,0,1.0
557,20,0,0,1.0
558,20,0,0,1.0
559,0,20,1,1.0
560,0,20,1,1.0
561,19,1,0,0.95
562,0,20,1,1.0
563,0,20,1,1.0
564,0,20,1,1.0
565,20,0,0,1.0
566,6,14,1,0.7
567,20,0,0,1.0
568,16,4,0,0.8
569,1,19,1,0.95
570,20,0,0,1.0
571,0,20,1,1.0
572,0,20,1,1.0
573,20,0,0,1.0
574,0,20,1,1.0
575,0,20,1,1.0
576,17,3,0,0.85
577,16,4,0,0.8
578,0,20,1,1.0
579,3,17,1,0.85
580,20,0,0,1.0
581,19,1,0,0.95
582,18,2,0,0.9
583,20,0,0,1.0
584,20,0,0,1.0
585,0,20,1,1.0
586,0,20,1,1.0
587,0,20,1,1.0
588,20,0,0,1.0
589,0,20,1,1.0
590,0,20,1,1.0
591,0,20,1,1.0
592,0,20,1,1.0
593,20,0,0,1.0
594,20,0,0,1.0
595,0,20,1,1.0
596,0,20,1,1.0
597,0,20,1,1.0
598,20,0,0,1.0
599,0,20,1,1.0
600,0,20,1,1.0
601,7,13,1,0.65
602,19,1,0,0.95
603,20,0,0,1.0
604,1,19,1,0.95
605,0,20,1,1.0
606,16,4,0,0.8
607,20,0,0,1.0
608,3,17,1,0.85
609,0,20,1,1.0
610,18,2,0,0.9
611,20,0,0,1.0
612,20,0,0,1.0
613,20,0,0,1.0
614,20,0,0,1.0
615,20,0,0,1.0
616,20,0,0,1.0
617,2,18,1,0.9
618,0,20,1,1.0
619,0,20,1,1.0
620,20,0,0,1.0
621,20,0,0,1.0
622,0,20,1,1.0
623,0,20,1,1.0
624,20,0,0,1.0
625,0,20,1,1.0
626,20,0,0,1.0
627,20,0,0,1.0
628,0,20,1,1.0
629,0,20,1,1.0
630,20,0,0,1.0
631,0,20,1,1.0
632,1,19,1,0.95
633,20,0,0,1.0
634,20,0,0,1.0
635,0,20,1,1.0
636,0,20,1,1.0
637,20,0,0,1.0
638,20,0,0,1.0
639,19,1,0,0.95
640,20,0,0,1.0
641,10,10,equal,0.5
642,0,20,1,1.0
643,0,20,1,1.0
644,20,0,0,1.0
645,0,20,1,1.0
646,20,0,0,1.0
647,18,2,0,0.9
648,20,0,0,1.0
649,0,20,1,1.0
650,1,19,1,0.95
651,0,20,1,1.0
652,1,19,1,0.95
653,0,20,1,1.0
654,1,19,1,0.95
655,20,0,0,1.0
656,20,0,0,1.0
657,0,20,1,1.0
658,19,1,0,0.95
659,0,20,1,1.0
660,6,14,1,0.7
661,0,20,1,1.0
662,20,0,0,1.0
663,0,20,1,1.0
664,20,0,0,1.0
665,0,20,1,1.0
666,0,20,1,1.0
667,1,19,1,0.95
668,20,0,0,1.0
669,0,20,1,1.0
670,0,20,1,1.0
671,18,2,0,0.9
672,0,20,1,1.0
673,20,0,0,1.0
674,0,20,1,1.0
675,20,0,0,1.0
676,20,0,0,1.0
677,20,0,0,1.0
678,3,17,1,0.85
679,20,0,0,1.0
680,20,0,0,1.0
681,20,0,0,1.0
682,20,0,0,1.0
683,20,0,0,1.0
684,20,0,0,1.0
685,18,2,0,0.9
686,20,0,0,1.0
687,20,0,0,1.0
688,20,0,0,1.0
689,0,20,1,1.0
690,20,0,0,1.0
691,18,2,0,0.9
692,20,0,0,1.0
693,3,17,1,0.85
694,20,0,0,1.0
695,20,0,0,1.0
696,2,18,1,0.9
697,0,20,1,1.0
698,0,20,1,1.0
699,0,20,1,1.0
700,20,0,0,1.0
701,20,0,0,1.0
702,0,20,1,1.0
703,20,0,0,1.0
704,20,0,0,1.0
705,20,0,0,1.0
706,0,20,1,1.0
707,0,20,1,1.0
708,20,0,0,1.0
709,0,20,1,1.0
710,20,0,0,1.0
711,0,20,1,1.0
712,0,20,1,1.0
713,20,0,0,1.0
714,0,20,1,1.0
715,0,20,1,1.0
716,20,0,0,1.0
717,0,20,1,1.0
718,0,20,1,1.0
719,2,18,1,0.9
720,0,20,1,1.0
721,20,0,0,1.0
722,0,20,1,1.0
723,20,0,0,1.0
724,0,20,1,1.0
725,20,0,0,1.0
726,19,1,0,0.95
727,20,0,0,1.0
728,20,0,0,1.0
729,0,20,1,1.0
730,20,0,0,1.0
731,20,0,0,1.0
732,0,20,1,1.0
733,20,0,0,1.0
734,0,20,1,1.0
735,0,20,1,1.0
736,16,4,0,0.8
737,2,18,1,0.9
738,20,0,0,1.0
739,20,0,0,1.0
740,0,20,1,1.0
741,20,0,0,1.0
742,0,20,1,1.0
743,0,20,1,1.0
744,20,0,0,1.0
745,17,3,0,0.85
746,0,20,1,1.0
747,20,0,0,1.0
748,0,20,1,1.0
749,20,0,0,1.0
750,20,0,0,1.0
751,20,0,0,1.0
752,0,20,1,1.0
753,0,20,1,1.0
754,20,0,0,1.0
755,20,0,0,1.0
756,20,0,0,1.0
757,20,0,0,1.0
758,20,0,0,1.0
759,17,3,0,0.85
760,20,0,0,1.0
761,18,2,0,0.9
762,20,0,0,1.0
763,20,0,0,1.0
764,5,15,1,0.75
765,18,2,0,0.9
766,20,0,0,1.0
767,0,20,1,1.0
768,1,19,1,0.95
769,20,0,0,1.0
770,0,20,1,1.0
771,3,17,1,0.85
772,0,20,1,1.0
773,0,20,1,1.0
774,0,20,1,1.0
775,20,0,0,1.0
776,0,20,1,1.0
777,16,4,0,0.8
778,20,0,0,1.0
779,3,17,1,0.85
780,19,1,0,0.95
781,20,0,0,1.0
782,20,0,0,1.0
783,20,0,0,1.0
784,20,0,0,1.0
785,20,0,0,1.0
786,0,20,1,1.0
787,0,20,1,1.0
788,20,0,0,1.0
789,20,0,0,1.0
790,0,20,1,1.0
791,20,0,0,1.0
792,20,0,0,1.0
793,0,20,1,1.0
794,0,20,1,1.0
795,20,0,0,1.0
796,20,0,0,1.0
797,0,20,1,1.0
798,0,20,1,1.0
799,0,20,1,1.0
800,20,0,0,1.0
801,20,0,0,1.0
802,20,0,0,1.0
803,0,20,1,1.0
804,2,18,1,0.9
805,0,20,1,1.0
806,20,0,0,1.0
807,20,0,0,1.0
808,0,20,1,1.0
809,20,0,0,1.0
810,20,0,0,1.0
811,0,20,1,1.0
812,20,0,0,1.0
813,0,20,1,1.0
814,0,20,1,1.0
815,20,0,0,1.0
816,20,0,0,1.0
817,20,0,0,1.0
818,0,20,1,1.0
819,0,20,1,1.0
820,20,0,0,1.0
821,0,20,1,1.0
822,3,17,1,0.85
823,0,20,1,1.0
824,20,0,0,1.0
825,0,20,1,1.0
826,15,5,0,0.75
827,20,0,0,1.0
828,0,20,1,1.0
829,20,0,0,1.0
830,20,0,0,1.0
831,20,0,0,1.0
832,15,5,0,0.75
833,20,0,0,1.0
834,0,20,1,1.0
835,20,0,0,1.0
836,0,20,1,1.0
837,13,7,0,0.65
838,20,0,0,1.0
839,20,0,0,1.0
840,18,2,0,0.9
841,20,0,0,1.0
842,0,20,1,1.0
843,20,0,0,1.0
844,20,0,0,1.0
845,0,20,1,1.0
846,0,20,1,1.0
847,20,0,0,1.0
848,9,11,1,0.55
849,20,0,0,1.0
850,0,20,1,1.0
851,0,20,1,1.0
852,0,20,1,1.0
853,0,20,1,1.0
854,1,19,1,0.95
855,0,20,1,1.0
856,16,4,0,0.8
857,0,20,1,1.0
858,20,0,0,1.0
859,0,20,1,1.0
860,20,0,0,1.0
861,20,0,0,1.0
862,20,0,0,1.0
863,0,20,1,1.0
864,20,0,0,1.0
865,0,20,1,1.0
866,0,20,1,1.0
867,0,20,1,1.0
868,20,0,0,1.0
869,20,0,0,1.0
870,0,20,1,1.0
871,0,20,1,1.0
872,20,0,0,1.0
873,20,0,0,1.0
874,20,0,0,1.0
875,20,0,0,1.0
876,0,20,1,1.0
877,20,0,0,1.0
878,20,0,0,1.0
879,0,20,1,1.0
880,19,1,0,0.95
881,0,20,1,1.0
882,20,0,0,1.0
883,20,0,0,1.0
884,18,2,0,0.9
885,20,0,0,1.0
886,20,0,0,1.0
887,6,14,1,0.7
888,20,0,0,1.0
889,0,20,1,1.0
890,20,0,0,1.0
891,8,12,1,0.6
892,0,20,1,1.0
893,0,20,1,1.0
894,20,0,0,1.0
895,20,0,0,1.0
896,20,0,0,1.0
897,20,0,0,1.0
898,20,0,0,1.0
899,0,20,1,1.0
900,0,20,1,1.0
901,0,20,1,1.0
902,19,1,0,0.95
903,0,20,1,1.0
904,0,20,1,1.0
905,19,1,0,0.95
906,20,0,0,1.0
907,0,20,1,1.0
908,0,20,1,1.0
909,20,0,0,1.0
910,20,0,0,1.0
911,20,0,0,1.0
912,17,3,0,0.85
913,0,20,1,1.0
914,11,9,0,0.55
915,2,18,1,0.9
916,0,20,1,1.0
917,0,20,1,1.0
918,1,19,1,0.95
919,20,0,0,1.0
920,0,20,1,1.0
921,3,17,1,0.85
922,0,20,1,1.0
923,20,0,0,1.0
924,0,20,1,1.0
925,0,20,1,1.0
926,0,20,1,1.0
927,4,16,1,0.8
928,0,20,1,1.0
929,20,0,0,1.0
930,20,0,0,1.0
931,0,20,1,1.0
932,0,20,1,1.0
933,19,1,0,0.95
934,0,20,1,1.0
935,0,20,1,1.0
936,20,0,0,1.0
937,0,20,1,1.0
938,0,20,1,1.0
939,0,20,1,1.0
940,0,20,1,1.0
941,0,20,1,1.0
942,20,0,0,1.0
943,20,0,0,1.0
944,20,0,0,1.0
945,0,20,1,1.0
946,0,20,1,1.0
947,0,20,1,1.0
948,20,0,0,1.0
949,0,20,1,1.0
950,20,0,0,1.0
951,20,0,0,1.0
952,0,20,1,1.0
953,20,0,0,1.0
954,0,20,1,1.0
955,20,0,0,1.0
956,10,10,equal,0.5
957,20,0,0,1.0
958,0,20,1,1.0
959,10,10,equal,0.5
960,1,19,1,0.95
961,0,20,1,1.0
962,0,20,1,1.0
963,0,20,1,1.0
964,20,0,0,1.0
965,20,0,0,1.0
966,20,0,0,1.0
967,20,0,0,1.0
968,1,19,1,0.95
969,19,1,0,0.95
970,20,0,0,1.0
971,20,0,0,1.0
972,20,0,0,1.0
973,0,20,1,1.0
974,1,19,1,0.95
975,0,20,1,1.0
976,0,20,1,1.0
977,0,20,1,1.0
978,20,0,0,1.0
979,0,20,1,1.0
980,20,0,0,1.0
981,0,20,1,1.0
982,20,0,0,1.0
983,0,20,1,1.0
984,2,18,1,0.9
985,17,3,0,0.85
986,20,0,0,1.0
987,0,20,1,1.0
988,0,20,1,1.0
989,20,0,0,1.0
990,20,0,0,1.0
991,12,8,0,0.6
992,20,0,0,1.0
993,20,0,0,1.0
994,0,20,1,1.0
995,20,0,0,1.0
996,5,15,1,0.75
997,0,20,1,1.0
998,0,20,1,1.0
999,0,20,1,1.0
1000,20,0,0,1.0
1001,0,20,1,1.0
1002,20,0,0,1.0
1003,20,0,0,1.0
1004,20,0,0,1.0
1005,3,17,1,0.85
1006,0,20,1,1.0
1007,0,20,1,1.0
1008,20,0,0,1.0
1009,0,20,1,1.0
1010,20,0,0,1.0
1011,20,0,0,1.0
1012,20,0,0,1.0
1013,7,13,1,0.65
1014,20,0,0,1.0
1015,20,0,0,1.0
1016,20,0,0,1.0
1017,0,20,1,1.0
1018,20,0,0,1.0
1019,0,20,1,1.0
1020,10,10,equal,0.5
1021,0,20,1,1.0
1022,19,1,0,0.95
1023,20,0,0,1.0
1024,0,20,1,1.0
1025,0,20,1,1.0
1026,0,20,1,1.0
1027,2,18,1,0.9
1028,0,20,1,1.0
1029,11,9,0,0.55
1030,11,9,0,0.55
1031,0,20,1,1.0
1032,13,7,0,0.65
1033,0,20,1,1.0
1034,0,20,1,1.0
1035,0,20,1,1.0
1036,20,0,0,1.0
1037,0,20,1,1.0
1038,3,17,1,0.85
1039,20,0,0,1.0
1040,20,0,0,1.0
1041,0,20,1,1.0
1042,0,20,1,1.0
1043,20,0,0,1.0
1044,20,0,0,1.0
1045,0,20,1,1.0
1046,20,0,0,1.0
1047,20,0,0,1.0
1048,20,0,0,1.0
1049,0,20,1,1.0
1050,20,0,0,1.0
1051,20,0,0,1.0
1052,0,20,1,1.0
1053,20,0,0,1.0
1054,20,0,0,1.0
1055,20,0,0,1.0
1056,20,0,0,1.0
1057,0,20,1,1.0
1058,2,18,1,0.9
1059,19,1,0,0.95
1060,20,0,0,1.0
1061,20,0,0,1.0
1062,7,13,1,0.65
1063,12,8,0,0.6
1064,0,20,1,1.0
1065,20,0,0,1.0
1066,20,0,0,1.0
1067,0,20,1,1.0
1068,8,12,1,0.6
1069,20,0,0,1.0
1070,0,20,1,1.0
1071,0,20,1,1.0
1072,0,20,1,1.0
1073,0,20,1,1.0
1074,0,20,1,1.0
1075,20,0,0,1.0
1076,20,0,0,1.0
1077,2,18,1,0.9
1078,20,0,0,1.0
1079,20,0,0,1.0
1080,19,1,0,0.95
1081,8,12,1,0.6
1082,20,0,0,1.0
1083,19,1,0,0.95
1084,19,1,0,0.95
1085,20,0,0,1.0
1086,20,0,0,1.0
1087,0,20,1,1.0
1088,20,0,0,1.0
1089,18,2,0,0.9
1090,20,0,0,1.0
1091,19,1,0,0.95
1092,0,20,1,1.0
1093,20,0,0,1.0
1094,20,0,0,1.0
1095,20,0,0,1.0
1096,20,0,0,1.0
1097,19,1,0,0.95
1098,20,0,0,1.0
1099,11,9,0,0.55
1100,0,20,1,1.0
1101,0,20,1,1.0
1102,0,20,1,1.0
1103,0,20,1,1.0
1104,5,15,1,0.75
1105,20,0,0,1.0
1106,3,17,1,0.85
1107,0,20,1,1.0
1108,0,20,1,1.0
1109,0,20,1,1.0
1110,0,20,1,1.0
1111,0,20,1,1.0
1112,0,20,1,1.0
1113,1,19,1,0.95
1114,20,0,0,1.0
1115,20,0,0,1.0
1116,0,20,1,1.0
1117,20,0,0,1.0
1118,20,0,0,1.0
1119,0,20,1,1.0
1120,20,0,0,1.0
1121,19,1,0,0.95
1122,0,20,1,1.0
1123,0,20,1,1.0
1124,20,0,0,1.0
1125,8,12,1,0.6
1126,20,0,0,1.0
1127,0,20,1,1.0
1128,20,0,0,1.0
1129,20,0,0,1.0
1130,20,0,0,1.0
1131,20,0,0,1.0
1132,20,0,0,1.0
1133,0,20,1,1.0
1134,20,0,0,1.0
1135,20,0,0,1.0
1136,20,0,0,1.0
1137,20,0,0,1.0
1138,0,20,1,1.0
1139,14,6,0,0.7
1140,20,0,0,1.0
1141,20,0,0,1.0
1142,0,20,1,1.0
1143,0,20,1,1.0
1144,20,0,0,1.0
1145,0,20,1,1.0
1146,20,0,0,1.0
1147,20,0,0,1.0
1148,0,20,1,1.0
